epsilon,Average Cost,Cost variance,Time taken
0,5.9486138465,3.15544362088405E-30,0
0.02,6.1935342295,0.2424658113,1
0.04,7.3588599796,1.2561649144,2
0.06,9.1539483023,4.4554127424,3
0.08,11.6905510559,11.4203340717,4
0.1,14.3681037985,20.1542351755,5
0.2,33.4176786343,149.7421592001,0
0.4,120.3702777931,2236.3597415306,1
0.6,267.8673752616,20228.3346166097,2
0.8,963.137532464,7199461.71619669,3
1,5014.3541792229,654238417.854651,4
1.2,23584.9662865415,4251474656.52523,5
1.4,42637.1247328659,10629095488.5292,6
1.6,46442.0026790892,4946016340.93262,7
1.8,134089.375144367,77369503687.8343,8
2,253370.419010221,178261137518.382,9
