epsilon,Average Cost,Cost variance
DP,0.0,5.948613846530694,3.1554436208840472e-30
LQR,0.0,5.817245410370131,7.888609052210118e-31
DP,0.2,6.19353422951774,0.24246581125261663
LQR,0.2,6.157749623695618,0.2643523479771671
DP,0.4,7.358859979603206,1.2561649144240672
LQR,0.4,7.529415444357954,2.4701954278725466
DP,0.6000000000000001,9.153948302268724,4.455412742440641
LQR,0.6000000000000001,9.32887818585584,4.6960852161176545
DP,0.8,11.69055105590152,11.420334071722248
LQR,0.8,11.408601864742526,8.362304454087155
DP,1.0,14.368103798465643,20.154235175532843
LQR,1.0,15.605489087581935,27.454951942591627
